Quarter,Report date,Report time,Consensus est. EPS ($),Adjusted actuals EPS ($),EPS difference,Est. low/high range ($),StarMine from Refinitiv SmartEstimate($) ,GAAP EPS ($),Reported EPS ($)
Q1 2024,4/25/24,--,0.68,--,--,0.36 / 1.04,--,--,--
,,,(22 Analysts),,,,,,
Q4 2023,1/31/24,--,0.77,--,--,0.57 / 1.00,0.81,--,--
,,,(36 Analysts),,,,,,
Q3 2023,10/26/23,--,0.58,0.94,0.36,0.44 / 0.71,0.61,0.94,0.94
,,,(37 Analysts),,,,,,
Q2 2023,8/3/23,--,0.35,0.65,0.3,0.14 / 0.47,0.36,0.65,0.65
,,,(36 Analysts),,,,,,
Q1 2023,4/27/23,--,0.21,0.31,0.1,-0.125,0.17,0.31,0.31
,,,(35 Analysts),,,,,,
Q4 2022,2/2/23,--,0.18,0.03,-0.15,-0.09375,0.16,0.03,0.03
,,,(36 Analysts),,,,,,
Q3 2022,10/27/22,--,0.22,0.28,0.06,-0.128205128,0.21,0.28,0.28
,,,(35 Analysts),,,,,,
Q2 2022,7/28/22,--,0.14,-0.2,-0.34,-0.195121951,0.13,-0.2,-0.2
,,,(38 Analysts),,,,,,
Q1 2022,4/28/22,--,0.42,-0.38,-0.8,-0.301724138,0,-0.38,-0.38
,,,(40 Analysts),,,,,,
Q4 2021,2/3/22,--,0.18,1.39,1.21,-0.136363636,0,1.39,1.39
,,,(41 Analysts),,,,,,
Q3 2021,10/28/21,--,0.45,0.31,-0.14,5.25 / 13.43,0,0.31,0.31
,,,(39 Analysts),,,,,,
Q2 2021,7/29/21,--,0.62,0.76,0.14,9.77 / 15.18,0,0.76,0.76
,,,(37 Analysts),,,,,,
Q1 2021,4/29/21,--,0.48,0.79,0.31,6.41 / 12.00,0,0.79,0.79
,,,(37 Analysts),,,,,,
Q4 2020,2/2/21,--,0.36,0.71,0.35,4.51 / 11.16,0,0.7,0.71
,,,(40 Analysts),,,,,,
Q3 2020,10/29/20,--,0.37,0.62,0.25,4.62 / 11.86,--,0.62,0.62
,,,(40 Analysts),,,,,,
Q2 2020,7/30/20,--,0.07,0.52,0.45,-0.653846154,0,0.52,0.52
,,,(39 Analysts),,,,,,
Q1 2020,4/30/20,--,6.25,5.01,-1.24,4.68 / 7.82,0,0.25,5.01
,,,(44 Analysts),,,,,,
Q4 2019,1/30/20,--,4.03,6.47,2.44,2.19 / 5.58,0,0.32,6.47
,,,(44 Analysts),,,,,,
Q3 2019,10/24/19,--,4.62,4.23,-0.39,3.35 / 6.03,0,0.21,4.23
,,,(41 Analysts),,,,,,
Q2 2019,7/25/19,--,5.57,5.22,-0.35,4.34 / 7.85,0,0.26,5.22
,,,(43 Analysts),,,,,,
Q1 2019,4/25/19,--,4.72,7.09,2.37,3.08 / 6.06,0,0.35,7.09
,,,(40 Analysts),,,,,,
Q4 2018,1/31/19,--,5.68,6.04,0.36,4.37 / 8.27,5.96,0.3,6.04
,,,(45 Analysts),,,,,,
Q3 2018,10/25/18,--,3.14,5.75,2.61,2.25 / 4.40,3.25,0.29,5.75
,,,(42 Analysts),,,,,,
Q2 2018,7/26/18,--,2.54,5.07,2.53,1.53 / 3.09,2.55,0.25,5.07
,,,(41 Analysts),,,,,,
Q1 2018,4/26/18,--,1.26,3.27,2.01,0.66 / 1.79,1.3,0.16,3.27
,,,(40 Analysts),,,,,,
Q4 2017,2/1/18,--,1.84,2.16,0.32,1.21 / 2.62,1.82,0.19,3.75
,,,(41 Analysts),,,,,,
Q3 2017,10/26/17,--,0.03,0.52,0.49,-1.269230769,0.1,0.03,0.52
,,,(22 Analysts),,,,,,
Q2 2017,7/27/17,--,1.42,0.4,-1.02,1.04 / 2.42,1.45,0.02,0.4
,,,(35 Analysts),,,,,,
Q1 2017,4/27/17,--,1.09,1.48,0.39,0.26 / 2.34,1.14,0.07,1.48
,,,(37 Analysts),,,,,,
Q4 2016,2/2/17,--,1.35,1.54,0.19,0.36 / 1.84,1.4,0.08,1.54
,,,(37 Analysts),,,,,,
Q3 2016,10/27/16,--,0.78,0.52,-0.26,0.39 / 1.54,0.83,0.03,0.52
,,,(38 Analysts),,,,,,
Q2 2016,7/28/16,--,1.11,1.78,0.67,0.49 / 1.85,1.15,0.09,1.78
,,,(37 Analysts),,,,,,
Q1 2016,4/28/16,--,0.58,1.07,0.49,-0.160714286,0.6,0.05,1.07
,,,(37 Analysts),,,,,,
Q4 2015,1/28/16,--,1.56,1,-0.56,0.60 / 2.41,1.59,0.05,1
,,,(37 Analysts),,,,,,
Q3 2015,10/22/15,--,-0.14,0.17,0.31,-1.714285714,-0.12,0.01,0.17
,,,(36 Analysts),,,,,,
Q2 2015,7/23/15,--,-0.14,0.19,0.33,-1.648648649,-0.16,0.01,0.19
,,,(36 Analysts),,,,,,
Q1 2015,4/23/15,--,-0.12,-0.12,0,-1.6,-0.11,-0.01,-0.12
,,,(37 Analysts),,,,,,
Q4 2014,1/29/15,--,0.17,0.45,0.28,-0.732142857,0.15,0.02,0.45
,,,(37 Analysts),,,,,,
Q3 2014,10/23/14,--,-0.74,-0.95,-0.21,3.170731707,-0.74,-0.05,-0.95
,,,(35 Analysts),,,,,,
Q2 2014,7/24/14,--,-0.15,-0.27,-0.12,-7.285714286,-0.16,-0.01,-0.27
,,,(37 Analysts),,,,,,
Q1 2014,4/24/14,--,0.23,0.23,0,-0.019230769,0.23,0.01,0.23
,,,(36 Analysts),,,,,,
Q4 2013,1/30/14,--,0.66,0.51,-0.15,0.01 / 1.88,0.7,0.03,0.51
,,,(39 Analysts),,,,,,
