Quarter,Report date,Report time,Consensus est. EPS ($),Adjusted actuals EPS ($),EPS difference,Est. low/high range ($),StarMine from Refinitiv SmartEstimate($) ,GAAP EPS ($),Reported EPS ($)
Q1 2024,4/16/24,--,0.79,--,--,0.72 / 0.86,--,--,--
,,,(14 Analysts),,,,,,
Q4 2023,01/12/2024,--,0.76,--,--,0.69 / 0.85,0.76,--,--
,,,(16 Analysts),,,,,,
Q3 2023,10/17/23,--,0.82,0.9,0.08,0.77 / 0.87,0.82,0.9,0.9
,,,(19 Analysts),,,,,,
Q2 2023,7/18/23,--,0.84,0.88,0.04,0.76 / 0.89,0.85,0.88,0.88
,,,(22 Analysts),,,,,,
Q1 2023,4/18/23,--,0.82,0.94,0.12,0.69 / 0.97,0.8,0.94,0.94
,,,(21 Analysts),,,,,,
Q4 2022,1/13/23,--,0.77,0.85,0.08,0.69 / 0.84,0.76,0.85,0.85
,,,(22 Analysts),,,,,,
Q3 2022,10/17/22,--,0.77,0.81,0.04,0.63 / 0.84,0.78,0.81,0.81
,,,(19 Analysts),,,,,,
Q2 2022,7/18/22,--,0.75,0.73,-0.02,0.68 / 0.83,0.75,0.73,0.73
,,,(23 Analysts),,,,,,
Q1 2022,4/18/22,--,0.75,0.8,0.05,0.68 / 0.80,0.75,0.8,0.8
,,,(21 Analysts),,,,,,
Q4 2021,1/19/22,--,0.76,0.82,0.06,0.70 / 0.80,0.77,0.82,0.82
,,,(22 Analysts),,,,,,
Q3 2021,10/14/21,--,0.71,0.85,0.14,0.63 / 0.79,0.72,0.85,0.85
,,,(22 Analysts),,,,,,
Q2 2021,7/14/21,--,0.77,1.03,0.26,0.68 / 0.92,0.76,1.03,1.03
,,,(21 Analysts),,,,,,
Q1 2021,4/15/21,--,0.66,0.86,0.2,0.55 / 0.78,0.66,0.86,0.86
,,,(21 Analysts),,,,,,
Q4 2020,1/19/21,--,0.55,0.59,0.04,0.46 / 0.63,0.55,0.59,0.59
,,,(22 Analysts),,,,,,
Q3 2020,10/14/20,--,0.49,0.51,0.02,0.28 / 0.60,0.39,0.51,0.51
,,,(23 Analysts),,,,,,
Q2 2020,7/16/20,--,0.27,0.37,0.1,0.06 / 0.42,0.3,0.37,0.37
,,,(21 Analysts),,,,,,
Q1 2020,4/15/20,--,0.46,0.4,-0.06,-1.579710145,0.48,0.4,0.4
,,,(20 Analysts),,,,,,
Q4 2019,1/15/20,--,0.68,0.74,0.06,0.65 / 0.71,0.68,0.74,0.74
,,,(21 Analysts),,,,,,
Q3 2019,10/16/19,--,0.51,0.56,0.05,0.49 / 0.53,0.51,0.56,0.56
,,,(18 Analysts),,,,,,
Q2 2019,7/17/19,--,0.71,0.74,0.03,0.67 / 0.75,0.71,0.74,0.74
,,,(24 Analysts),,,,,,
Q1 2019,4/16/19,--,0.66,0.7,0.04,0.62 / 0.71,0.66,0.7,0.7
,,,(23 Analysts),,,,,,
Q4 2018,1/16/19,--,0.63,0.7,0.07,0.59 / 0.67,0.63,0.7,0.7
,,,(25 Analysts),,,,,,
Q3 2018,10/15/18,--,0.62,0.66,0.04,0.60 / 0.64,0.62,0.66,0.66
,,,(24 Analysts),,,,,,
Q2 2018,7/16/18,--,0.57,0.63,0.06,0.54 / 0.61,0.58,0.63,0.63
,,,(20 Analysts),,,,,,
Q1 2018,4/16/18,--,0.59,0.62,0.03,0.55 / 0.63,0.6,0.62,0.62
,,,(24 Analysts),,,,,,
Q4 2017,1/17/18,--,0.44,0.48,0.04,0.41 / 0.48,0.44,0.2,0.2
