Date,AMZN,BAC,GOOGL,MCD,VZ,Cur Quarter,FSQuarter,year,amzn4Qsum,amznPEratio,amznyeps,bac4Qsum,bacPEratio,bacyeps,googl4Qsum,googlPEratio,googlyeps,mcd4Qsum,mcdPEratio,mcdyeps,vz4Qsum,vzPEratio,vzyeps
2014-10-01,15.873000144958496,16.81999969482422,28.98150062561035,94.19000244140624,49.43000030517578,2014Q4,2014Q3,2014,-0.48,-33.06875030199687,-0.5399999999999999,0.38999999999999996,43.12820434570313,0.35,18.73,1.5473305192530886,20.57,5.1,18.4686279296875,4.83,4.81,10.276507339953385,2.51
2014-10-02,15.920499801635742,16.8799991607666,29.04400062561035,94.12000274658205,49.290000915527344,2014Q4,2014Q3,2014,-0.48,-33.16770792007446,-0.5399999999999999,0.38999999999999996,43.282049130170776,0.35,18.73,1.55066741193862,20.57,5.1,18.454902499329815,4.83,4.81,10.247401437739573,2.51
2014-10-03,16.136999130249023,17.290000915527344,29.3125,94.86000061035156,49.709999084472656,2014Q4,2014Q3,2014,-0.48,-33.6187481880188,-0.5399999999999999,0.38999999999999996,44.33333568083935,0.35,18.73,1.5650026695141483,20.57,5.1,18.60000011967678,4.83,4.81,10.33471914438101,2.51
2014-10-06,16.110000610351562,17.290000915527344,29.388999938964844,93.83999633789062,50.08000183105469,2014Q4,2014Q3,2014,-0.48,-33.56250127156576,-0.5399999999999999,0.38999999999999996,44.33333568083935,0.35,18.73,1.5690870229025544,20.57,5.1,18.39999928193934,4.83,4.81,10.411642792319062,2.51
2014-10-07,15.848999977111816,16.8799991607666,28.704999923706055,92.80999755859376,49.68000030517578,2014Q4,2014Q3,2014,-0.48,-33.018749952316284,-0.5399999999999999,0.38999999999999996,43.282049130170776,0.35,18.73,1.5325680685374294,20.57,5.1,18.19803873697917,4.83,4.81,10.328482391928437,2.51
2014-10-08,16.135000228881836,17.1200008392334,29.187000274658203,93.83000183105467,49.869998931884766,2014Q4,2014Q3,2014,-0.48,-33.614583810170494,-0.5399999999999999,0.38999999999999996,43.89743804931641,0.35,18.73,1.5583022036656808,20.57,5.1,18.398039574716602,4.83,4.81,10.36798314592199,2.51
2014-10-09,15.768500328063965,16.59000015258789,28.54050064086914,92.72000122070312,48.93000030517578,2014Q4,2014Q3,2014,-0.48,-32.85104235013326,-0.5399999999999999,0.38999999999999996,42.53846192971255,0.35,18.73,1.5237854052786513,20.57,5.1,18.180392396216302,4.83,4.81,10.172557236003282,2.51
2014-10-10,15.569499969482422,16.479999542236328,27.75950050354004,92.3000030517578,48.939998626708984,2014Q4,2014Q3,2014,-0.48,-32.43645826975505,-0.5399999999999999,0.38999999999999996,42.25640908265726,0.35,18.73,1.4820875869482135,20.57,5.1,18.09803981407016,4.83,4.81,10.174635889128687,2.51
2014-10-13,15.322500228881836,16.399999618530273,27.237499237060547,90.7300033569336,48.369998931884766,2014Q4,2014Q3,2014,-0.48,-31.921875476837158,-0.5399999999999999,0.38999999999999996,42.05128107315455,0.35,18.73,1.4542177916209582,20.57,5.1,17.790196736653648,4.83,4.81,10.056132834071677,2.51
2014-10-14,15.415499687194824,16.520000457763672,27.434499740600582,91.0999984741211,48.220001220703125,2014Q4,2014Q3,2014,-0.48,-32.115624348322555,-0.5399999999999999,0.38999999999999996,42.35897553272737,0.35,18.73,1.4647357042498976,20.57,5.1,17.862744798847274,4.83,4.81,10.02494827873246,2.51
2014-10-15,15.298500061035156,15.760000228881836,27.036500930786133,90.44000244140624,47.91999816894531,2014Q4,2014Q3,2014,-0.48,-31.871875127156578,-0.5399999999999999,0.38999999999999996,40.41025699713292,0.35,18.73,1.443486435172778,20.57,5.1,17.73333381204044,4.83,4.81,9.962577581901312,2.51
