Quarter,Report date,Report time,Consensus est. EPS ($),Adjusted actuals EPS ($),EPS difference,Est. low/high range ($),StarMine from Refinitiv SmartEstimate($) ,GAAP EPS ($),Reported EPS ($)
Q1 2024,4/23/24,--,1.5,--,--,1.36 / 1.65,--,--,--
,,,(23 Analysts),,,,,,
Q4 2023,1/31/24,--,1.59,--,--,1.43 / 1.75,1.58,--,--
,,,(36 Analysts),,,,,,
Q3 2023,10/24/23,--,1.45,1.55,0.1,1.27 / 1.55,1.47,1.55,1.55
,,,(37 Analysts),,,,,,
Q2 2023,7/25/23,--,1.34,1.44,0.1,1.06 / 1.50,1.35,1.44,1.44
,,,(37 Analysts),,,,,,
Q1 2023,4/25/23,--,1.07,1.17,0.1,0.87 / 1.21,1.08,1.17,1.17
,,,(36 Analysts),,,,,,
Q4 2022,02/02/2023,--,1.18,1.05,-0.13,0.95 / 1.34,1.16,1.05,1.05
,,,(37 Analysts),,,,,,
Q3 2022,10/25/22,--,1.25,1.06,-0.19,1.06 / 1.50,1.23,1.06,1.06
,,,(36 Analysts),,,,,,
Q2 2022,7/26/22,--,1.28,1.21,-0.07,1.12 / 1.54,1.25,1.21,1.21
,,,(34 Analysts),,,,,,
Q1 2022,4/26/22,--,1.3,1.23,-0.07,22.94 / 31.66,1.31,1.23,1.23
,,,(35 Analysts),,,,,,
Q4 2021,02/01/2022,--,1.37,1.53,0.16,23.03 / 31.00,1.39,1.53,1.53
,,,(32 Analysts),,,,,,
Q3 2021,10/26/21,--,1.17,1.4,0.23,19.50 / 30.67,1.23,1.4,1.4
,,,(32 Analysts),,,,,,
Q2 2021,7/27/21,--,0.97,1.36,0.39,12.71 / 24.43,0.99,1.36,1.36
,,,(32 Analysts),,,,,,
Q1 2021,4/27/21,--,0.79,1.31,0.52,11.47 / 19.44,0.79,1.31,1.31
,,,(32 Analysts),,,,,,
Q4 2020,02/02/2021,--,0.8,1.12,0.32,13.83 / 18.82,0.8,1.12,1.12
,,,(33 Analysts),,,,,,
Q3 2020,10/29/20,--,0.56,0.82,0.26,8.95 / 14.67,--,0.82,0.82
,,,(34 Analysts),,,,,,
Q2 2020,7/30/20,--,0.41,0.51,0.1,5.73 / 10.24,0.41,0.51,0.51
,,,(33 Analysts),,,,,,
Q1 2020,4/28/20,--,10.33,9.87,-0.46,8.51 / 14.46,0.51,0.49,9.87
,,,(31 Analysts),,,,,,
Q4 2019,02/03/2020,--,12.53,15.35,2.82,10.90 / 13.80,0.63,0.77,15.35
,,,(40 Analysts),,,,,,
Q3 2019,10/28/19,--,12.42,10.12,-2.3,10.83 / 15.07,0.63,0.51,10.12
,,,(37 Analysts),,,,,,
Q2 2019,7/25/19,--,11.3,14.21,2.91,10.28 / 13.38,0.56,0.71,14.21
,,,(37 Analysts),,,,,,
Q1 2019,4/29/19,--,10.61,9.5,-1.11,9.32 / 11.80,0.52,0.48,9.5
,,,(29 Analysts),,,,,,
Q4 2018,02/04/2019,--,10.82,12.77,1.95,9.28 / 12.13,10.9,0.64,12.77
,,,(34 Analysts),,,,,,
Q3 2018,10/25/18,--,10.42,13.06,2.64,9.20 / 11.90,10.29,0.65,13.06
,,,(35 Analysts),,,,,,
Q2 2018,7/23/18,--,9.59,4.54,-5.05,8.71 / 11.12,9.61,0.23,4.54
,,,(33 Analysts),,,,,,
Q1 2018,4/23/18,--,9.28,13.33,4.05,8.24 / 10.07,9.33,0.67,13.33
,,,(37 Analysts),,,,,,
Q4 2017,02/01/2018,--,9.98,9.7,-0.28,9.00 / 10.92,9.97,-0.22,-4.35
,,,(36 Analysts),,,,,,
Q3 2017,10/26/17,--,8.33,9.57,1.24,7.49 / 9.07,8.36,0.48,9.57
,,,(37 Analysts),,,,,,
Q2 2017,7/24/17,--,4.49,5.01,0.52,4.02 / 5.16,8.25,0.25,5.01
,,,(24 Analysts),,,,,,
Q1 2017,4/27/17,--,7.39,7.73,0.34,6.62 / 7.92,7.41,0.39,7.73
,,,(37 Analysts),,,,,,
Q4 2016,1/26/17,--,9.65,9.36,-0.29,9.01 / 10.67,9.65,0.38,7.56
,,,(40 Analysts),,,,,,
Q3 2016,10/27/16,--,8.63,9.06,0.43,8.08 / 9.04,8.65,0.36,7.25
,,,(41 Analysts),,,,,,
Q2 2016,7/28/16,--,8.04,8.42,0.38,7.60 / 8.48,8.01,0.35,7
,,,(42 Analysts),,,,,,
Q1 2016,4/21/16,--,7.97,7.5,-0.47,7.35 / 8.44,7.91,0.3,6.02
,,,(44 Analysts),,,,,,
Q4 2015,02/01/2016,--,8.11,8.67,0.56,7.32 / 8.59,8.11,0.35,7.06
,,,(45 Analysts),,,,,,
Q3 2015,10/22/15,--,7.21,7.35,0.14,6.13 / 8.09,7.2,0.29,5.73
,,,(45 Analysts),,,,,,
Q2 2015,7/16/15,--,6.7,6.99,0.29,6.05 / 7.29,6.71,0.25,4.93
,,,(42 Analysts),,,,,,
Q1 2015,4/23/15,--,6.6,6.47,-0.13,5.98 / 7.09,6.45,0.26,5.1
,,,(42 Analysts),,,,,,
Q4 2014,1/29/15,--,7.11,6.76,-0.35,6.39 / 7.97,7.02,0.27,6.79
,,,(43 Analysts),,,,,,
Q3 2014,10/16/14,--,6.53,6.25,-0.28,6.12 / 7.04,6.51,0.21,3.98
,,,(43 Analysts),,,,,,
Q2 2014,7/17/14,--,6.24,5.98,-0.26,5.73 / 6.64,6.23,0.25,4.88
,,,(42 Analysts),,,,,,
Q1 2014,4/16/14,--,6.41,6.16,-0.25,5.83 / 6.96,6.4,0.52,4.92
,,,(38 Analysts),,,,,,
Q4 2013,1/30/14,--,6.1,6.01,-0.09,5.03 / 6.84,--,0.57,4.95
,,,(42 Analysts),,,,,,
