Quarter,Report date,Report time,Consensus est. EPS ($),Adjusted actuals EPS ($),EPS difference,Est. low/high range ($),StarMine from Refinitiv SmartEstimate($) ,GAAP EPS ($),Reported EPS ($)
Q1 2024,4/23/24,--,2.77,--,--,2.65 / 2.86,--,--,--
,,,(24 Analysts),,,,,,
Q4 2023,1/29/24,--,2.81,--,--,2.70 / 3.05,2.81,--,--
,,,(29 Analysts),,,,,,
Q3 2023,10/30/23,--,3,3.19,0.19,2.89 / 3.15,3.01,3.17,3.17
,,,(28 Analysts),,,,,,
Q2 2023,7/27/23,--,2.79,3.17,0.38,2.61 / 2.98,2.78,3.15,3.15
,,,(28 Analysts),,,,,,
Q1 2023,4/25/23,--,2.33,2.63,0.3,2.01 / 2.46,2.35,2.45,2.45
,,,(28 Analysts),,,,,,
Q4 2022,1/31/23,--,2.46,2.59,0.13,2.31 / 2.60,2.46,2.59,2.59
,,,(28 Analysts),,,,,,
Q3 2022,10/27/22,--,2.58,2.68,0.1,2.47 / 2.64,2.56,2.68,2.68
,,,(29 Analysts),,,,,,
Q2 2022,7/26/22,--,2.47,2.55,0.08,2.27 / 2.67,2.47,1.6,1.6
,,,(28 Analysts),,,,,,
Q1 2022,4/28/22,--,2.17,2.28,0.11,1.89 / 2.33,2.17,1.48,1.48
,,,(31 Analysts),,,,,,
Q4 2021,1/27/22,--,2.34,2.23,-0.11,2.18 / 2.58,2.33,2.18,2.18
,,,(31 Analysts),,,,,,
Q3 2021,10/27/21,--,2.46,2.76,0.3,2.30 / 2.60,2.47,2.86,2.86
,,,(32 Analysts),,,,,,
Q2 2021,7/28/21,--,2.11,2.37,0.26,1.89 / 2.26,2.12,2.95,2.95
,,,(30 Analysts),,,,,,
Q1 2021,4/29/21,--,1.81,1.92,0.11,1.63 / 1.97,1.84,2.05,2.05
,,,(32 Analysts),,,,,,
Q4 2020,1/28/21,--,1.78,1.7,-0.08,1.41 / 1.96,1.78,1.84,1.84
,,,(33 Analysts),,,,,,
Q3 2020,11/09/2020,--,1.9,2.22,0.32,1.76 / 2.10,--,2.35,2.35
,,,(28 Analysts),,,,,,
Q2 2020,7/28/20,--,0.75,0.66,-0.09,0.51 / 1.27,0.74,0.65,0.65
,,,(29 Analysts),,,,,,
Q1 2020,4/30/20,--,1.57,1.47,-0.1,1.03 / 1.79,1.55,1.47,1.47
,,,(27 Analysts),,,,,,
Q4 2019,1/29/20,--,1.96,1.97,0.01,1.91 / 2.01,1.96,2.08,2.08
,,,(31 Analysts),,,,,,
Q3 2019,10/22/19,--,2.21,2.11,-0.1,2.12 / 2.29,2.22,2.11,2.11
,,,(29 Analysts),,,,,,
Q2 2019,7/26/19,--,2.05,2.05,0,1.99 / 2.15,2.05,1.97,1.97
,,,(28 Analysts),,,,,,
Q1 2019,4/30/19,--,1.75,1.72,-0.03,1.67 / 1.90,1.76,1.72,1.72
,,,(26 Analysts),,,,,,
Q4 2018,1/30/19,--,1.89,1.97,0.08,1.81 / 1.95,1.89,1.82,1.82
,,,(26 Analysts),,,,,,
Q3 2018,10/23/18,--,1.99,2.1,0.11,1.93 / 2.11,2,2.1,2.1
,,,(27 Analysts),,,,,,
Q2 2018,7/26/18,--,1.92,1.99,0.07,1.84 / 2.00,1.93,1.9,1.9
,,,(29 Analysts),,,,,,
Q1 2018,4/30/18,--,1.67,1.79,0.12,1.58 / 1.76,1.67,1.72,1.72
,,,(28 Analysts),,,,,,
Q4 2017,1/30/18,--,1.59,1.71,0.12,1.52 / 1.64,1.6,0.87,0.87
,,,(30 Analysts),,,,,,
Q3 2017,10/24/17,--,1.77,1.76,-0.01,1.63 / 2.01,1.79,2.32,2.32
,,,(30 Analysts),,,,,,
Q2 2017,7/25/17,--,1.62,1.7,0.08,1.51 / 1.72,1.61,1.7,1.7
,,,(29 Analysts),,,,,,
Q1 2017,4/25/17,--,1.33,1.47,0.14,1.25 / 1.39,1.34,1.47,1.47
,,,(27 Analysts),,,,,,
Q4 2016,1/23/17,--,1.41,1.43,0.02,1.36 / 1.47,1.42,1.44,1.44
,,,(27 Analysts),,,,,,
Q3 2016,10/21/16,--,1.48,1.62,0.14,1.46 / 1.54,1.49,1.5,1.5
,,,(26 Analysts),,,,,,
Q2 2016,7/26/16,--,1.38,1.45,0.07,1.21 / 1.45,1.37,1.25,1.25
,,,(27 Analysts),,,,,,
Q1 2016,4/22/16,--,1.16,1.23,0.07,1.08 / 1.23,1.16,1.25,1.23
,,,(27 Analysts),,,,,,
Q4 2015,1/25/16,--,1.23,1.31,0.08,1.14 / 1.36,1.24,1.31,1.31
,,,(25 Analysts),,,,,,
Q3 2015,10/22/15,--,1.28,1.4,0.13,1.19 / 1.35,1.27,1.4,1.4
,,,(25 Analysts),,,,,,
Q2 2015,7/23/15,--,1.24,1.26,0.02,1.18 / 1.30,1.23,1.26,1.26
,,,(25 Analysts),,,,,,
Q1 2015,4/22/15,--,1.06,1.01,-0.05,1.01 / 1.11,1.05,0.84,0.84
,,,(24 Analysts),,,,,,
Q4 2014,1/23/15,--,1.22,1.13,-0.09,1.10 / 1.28,1.21,1.13,1.13
,,,(23 Analysts),,,,,,
Q3 2014,10/21/14,--,1.37,1.09,-0.28,1.31 / 1.51,1.37,1.09,1.09
,,,(23 Analysts),,,,,,
Q2 2014,7/22/14,--,1.44,1.4,-0.04,1.41 / 1.48,1.43,1.4,1.4
,,,(25 Analysts),,,,,,
Q1 2014,4/22/14,--,1.24,1.21,-0.03,1.20 / 1.29,1.24,1.21,1.21
,,,(24 Analysts),,,,,,
Q4 2013,1/23/14,--,1.39,1.4,0.01,1.37 / 1.42,1.39,1.4,1.4
,,,(28 Analysts),,,,,,
