,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AMZN,BAC,GOOGL,MCD,VZ,AMZN,BAC,GOOGL,MCD,VZ,AMZN,BAC,GOOGL,MCD,VZ,AMZN,BAC,GOOGL,MCD,VZ,AMZN,BAC,GOOGL,MCD,VZ,AMZN,BAC,GOOGL,MCD,VZ
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,19.898500442504883,13.307185173034668,27.85585594177246,74.02037811279297,30.25895118713379,19.898500442504883,16.100000381469727,27.85585594177246,96.41000366210938,49.0,19.968000411987305,16.15999984741211,27.971721649169922,97.02999877929688,49.22999954223633,19.701000213623047,15.680000305175781,27.734233856201172,96.26000213623047,48.95000076293945,19.940000534057617,15.6899995803833,27.914413452148438,96.80999755859375,49.08000183105469,42756000,148709900,72783144,2925800,9270200
2014-01-03,19.82200050354004,13.563410758972168,27.652652740478516,74.12018585205078,29.90078353881836,19.82200050354004,16.40999984741211,27.652652740478516,96.54000091552734,48.41999816894531,20.135499954223633,16.5,27.951200485229492,97.02999877929688,49.33000183105469,19.81100082397461,16.229999542236328,27.650901794433594,96.5,48.220001220703125,19.914499282836914,16.270000457763672,27.902902603149414,96.9000015258789,49.33000183105469,44204000,129921800,66601332,2965300,12022200
2014-01-06,19.681499481201172,13.770041465759277,27.960960388183594,73.59042358398438,30.06752586364746,19.681499481201172,16.65999984741211,27.960960388183594,95.8499984741211,48.689998626708984,19.850000381469727,16.729999542236328,27.99949836730957,96.62000274658203,49.06999969482422,19.42099952697754,16.559999465942383,27.688688278198242,95.5199966430664,48.20000076293945,19.792499542236328,16.6299991607666,27.853103637695312,96.62000274658203,48.77000045776367,63412000,114431300,70701228,5022700,16054800
2014-01-07,19.901500701904297,13.637794494628906,28.5,73.9973373413086,30.44422721862793,19.901500701904297,16.5,28.5,96.37999725341797,49.29999923706055,19.923500061035156,16.790000915527344,28.520771026611328,97.08000183105469,49.400001525878906,19.714500427246094,16.450000762939453,28.057056427001953,96.12999725341797,48.58000183105469,19.75200080871582,16.770000457763672,28.153152465820312,96.37999725341797,49.119998931884766,38320000,110605100,102001896,4881800,17594600
2014-01-08,20.09600067138672,13.70391845703125,28.559309005737305,73.25260162353516,30.275676727294922,20.09600067138672,16.579999923706055,28.559309005737305,95.41000366210938,48.5,20.149999618530273,16.690000534057617,28.711711883544922,95.70999908447266,49.06999969482422,19.802000045776367,16.520000457763672,28.360610961914062,95.0,48.36000061035156,19.923500061035156,16.670000076293945,28.678678512573242,95.55000305175781,48.689998626708984,46330000,101036400,89610300,7669800,13110700
2014-01-09,20.050500869750977,13.910555839538574,28.284284591674805,73.29098510742188,29.651426315307617,20.050500869750977,16.829999923706055,28.284284591674805,95.45999908447266,47.5,20.344499588012695,16.93000030517578,28.63413429260254,96.3499984741211,48.5099983215332,19.922000885009766,16.610000610351562,28.16716766357422,95.25,47.4900016784668,20.18549919128418,16.670000076293945,28.614614486694336,96.23999786376953,48.43000030517578,42060000,100947200,83296620,7709000,14567000
2014-01-10,19.882999420166016,13.860960960388184,28.28278350830078,73.55204772949219,29.8074893951416,19.882999420166016,16.770000457763672,28.28278350830078,95.80000305175781,47.75,20.187999725341797,16.790000915527344,28.50550651550293,96.22000122070312,48.09000015258789,19.690000534057617,16.610000610351562,28.084333419799805,95.63999938964844,47.43000030517578,20.12649917602539,16.75,28.50550651550293,95.83000183105469,47.84000015258789,53590000,87454100,85654260,5512200,11445900
2014-01-13,19.548999786376953,13.579941749572754,28.102603912353516,72.80730438232422,29.358034133911133,19.548999786376953,16.43000030517578,28.102603912353516,94.83000183105469,47.029998779296875,19.98900032043457,16.799999237060547,28.70145034790039,95.83000183105469,47.75,19.422500610351562,16.399999618530273,27.95720672607422,94.58999633789062,46.95000076293945,19.89900016784668,16.790000915527344,28.189939498901367,95.83000183105469,47.650001525878906,56898000,90025400,96659244,5753200,18784000
